cpuload,phase,mean_pi,mean_siglent,abs_error_W,rel_error_%
0,idle,,2.63875,,
0,load,,2.66,,
10,idle,,2.6125,,
10,load,,2.6315625000000002,,
20,idle,,3.07125,,
20,load,,3.3346875,,
30,idle,,3.3724999999999996,,
30,load,,3.1378125,,
40,idle,,3.3775,,
40,load,,3.45,,
50,idle,,2.9449999999999994,,
50,load,,3.3646875,,
60,idle,,3.575,,
60,load,,3.3131249999999994,,
70,idle,,3.4262500000000005,,
70,load,,3.6709375,,
80,idle,,3.69375,,
80,load,,3.3443749999999994,,
90,idle,,3.78,,
90,load,,3.7828125,,
100,idle,,3.0774999999999997,,
100,load,,3.6131249999999993,,
